gene1	gene2	weight
AT1G08910	AT2G33770	508
AT1G08910	AT2G34670	150
AT1G08910	AT3G10270	505
AT1G08910	AT5G03150	160
AT1G08910	AT1G62510	150
AT1G08910	AT1G09460	159
AT1G08910	AT1G73100	167
AT1G08910	AT3G14990	343
AT1G08910	AT1G67060	150
AT1G08910	AT1G67060 PROTEIN	150
AT1G08910	AT1G07350	506
AT1G08910	AT5G39660	156
AT1G08910	AT4G15180	180
AT1G08910	AT3G25550	150
AT1G08910	AT4G24310	150
AT1G08910	AT1G20920	167
AT1G08910	AT4G12500	150
AT1G08910	AT5G50870	507
AT1G08910	AT3G61770	776
AT1G08910	AT1G26590	160
AT1G08910	AT2G32020	150
AT2G07741	AT2G23970	171
AT2G07741	AT1G22020	281
AT2G07741	AT5G13440	481
AT2G07741	AT5G26667	564
AT2G07741	AT3G43980	685
AT2G07741	AT4G39810	236
AT2G07741	AT2G07751	645
AT2G07741	AT5G12860	254
AT2G07741	AT3G28710	360
AT2G07741	AT2G07771	941
AT2G07741	AT3G62910	464
AT2G07741	AT4G31660	151
AT2G07741	AT1G52370	442
AT2G07741	AT1G52370 PROTEIN	442
AT2G07741	AT5G46180	175
AT2G07741	AT5G05450	210
AT2G07741	AT3G46040	571
AT2G07741	AT3G48830	191
AT2G07741	AT5G27395	192
AT2G07741	AT4G05020	158
AT2G07741	AT1G79530	172
AT2G07741	AT3G60100	231
AT2G07741	AT5G56090	334
AT2G07741	AT3G45880	156
AT2G07741	AT3G55280	576
AT2G07741	AT4G29220	175
AT2G07741	AT5G40650	340
AT2G07741	AT1G06200	173
AT2G07741	AT3G27830	185
AT2G07741	AT2G41700	175
AT2G07741	AT5G43640	287
AT2G07741	AT1G34360	426
AT2G07741	AT2G44520	442
AT2G07741	AT3G16340	175
AT2G07741	AT4G10040	290
AT2G07741	AT3G02020	247
AT2G07741	AT2G37010	209
AT2G07741	AT2G07718	195
AT2G07741	AT1G19910	939
AT2G07741	AT3G14950	163
AT2G07741	AT2G21170	408
AT2G07741	AT3G26000	172
AT2G07741	AT4G32530	912
AT2G07741	AT5G13450	981
AT2G07741	AT3G15710	173
AT2G07741	AT1G15220	165
AT2G07741	AT5G14590	243
AT2G07741	AT4G00651	227
AT2G07741	AT1G61580	579
